Wall time,Step,Value
1694441168.7327797,648,178.9199981689453
1694441169.9449973,650,187.63999938964844
1694441172.9584625,653,182.44000244140625
1694441175.8566284,657,179.9199981689453
1694441176.8353386,658,181.16000366210938
1694441179.5099573,662,178.1999969482422
1694441181.7234728,665,171.1199951171875
1694441185.915809,669,167.44000244140625
1694441188.7399275,672,159.52000427246094
1694441189.9938052,673,164.72000122070312
1694441190.6608007,674,159.32000732421875
1694441191.4229958,675,162.9199981689453
1694441192.2023036,676,159.9600067138672
1694441193.249778,678,154.75999450683594
1694441194.0574896,679,155.75999450683594
1694441195.5141382,680,158.39999389648438
1694441198.4284763,683,158.63999938964844
1694441198.9829245,684,160.83999633789062
1694441199.7867453,685,157.63999938964844
1694441201.0763795,687,160.1199951171875
1694441203.031329,689,161.24000549316406
1694441204.0900638,690,166.9600067138672
1694441213.1080642,697,190.75999450683594
1694441216.8212013,700,196.27999877929688
1694441220.4673977,704,203.0
1694441224.2915318,707,199.39999389648438
1694441226.4132776,709,200.67999267578125
1694441228.6248243,711,204.60000610351562
1694441231.7211468,715,205.8800048828125
1694441235.5768094,719,199.83999633789062
1694441238.3561625,722,188.16000366210938
1694441239.7874691,723,182.0399932861328
1694441241.3959002,724,194.72000122070312
1694441242.9165545,725,192.60000610351562
1694441251.5578167,731,201.8000030517578
1694441255.393286,737,183.67999267578125
1694441256.4309998,739,181.55999755859375
1694441257.1380684,740,178.16000366210938
1694441260.583781,744,181.32000732421875
1694441263.550478,747,177.0
1694441264.1081944,748,176.16000366210938
1694441266.2007399,751,145.52000427246094
1694441267.3627675,752,146.16000366210938
1694441268.4527094,753,151.39999389648438
1694441271.0709724,755,161.60000610351562
1694441273.7091558,757,176.1199951171875
1694441282.4978282,763,203.83999633789062
1694441285.6934807,766,211.39999389648438
1694441287.1831431,767,225.8800048828125
1694441290.6893198,770,231.32000732421875
1694441291.5236192,771,229.39999389648438
1694441292.9226582,772,234.63999938964844
1694441295.2418132,774,237.9600067138672
1694441297.455131,775,251.63999938964844
1694441307.3227425,781,258.760009765625
1694441311.9107087,785,255.0
1694441312.9631672,786,250.24000549316406
1694441315.1781757,788,245.52000427246094
1694441317.0720856,790,242.52000427246094
1694441319.1362143,792,240.8000030517578
1694441320.1323094,793,241.24000549316406
1694441321.0238926,794,237.9199981689453
1694441322.1775105,795,238.55999755859375
1694441323.2168746,796,236.16000366210938
1694441326.152981,799,241.75999450683594
1694441327.7578168,801,221.63999938964844
1694441328.9874597,803,204.8000030517578
1694441331.1605732,806,196.60000610351562
1694441332.3497708,808,190.0800018310547
1694441333.0962257,809,189.60000610351562
1694441333.9759948,810,193.60000610351562
1694441340.0757034,816,174.0
1694441341.3649893,817,178.0800018310547
1694441343.7803571,819,180.32000732421875
1694441348.06269,822,183.83999633789062
1694441352.3166516,826,192.63999938964844
1694441355.6317937,829,189.1199951171875
1694441359.330674,832,203.44000244140625
1694441360.0289905,833,206.16000366210938
1694441362.3971937,835,209.32000732421875
1694441364.9179943,837,222.63999938964844
1694441367.5438745,839,238.32000732421875
1694441374.0968297,844,240.55999755859375
1694441378.8289022,847,252.63999938964844
1694441382.145657,849,269.32000732421875
1694441401.1103427,864,280.7200012207031
1694441407.4470944,868,270.0799865722656
1694441409.937715,870,263.1600036621094
1694441411.5721354,871,265.4800109863281
1694441418.6576748,875,258.6000061035156
1694441422.1349015,877,265.1199951171875
1694441422.8716273,878,265.0
1694441426.786237,881,273.9200134277344
1694441428.7436373,883,278.0799865722656
1694441430.8976705,885,284.7200012207031
1694441434.486086,888,270.6000061035156
1694441437.4231813,890,272.6400146484375
1694441439.0495389,891,273.4800109863281
1694441441.581333,893,270.3599853515625
1694441445.47635,897,257.1600036621094
1694441451.0416176,901,247.0399932861328
1694441461.7938492,908,239.39999389648438
1694441462.5074697,909,234.24000549316406
1694441463.3062956,910,228.67999267578125
1694441464.148073,911,231.60000610351562
1694441465.2514246,913,221.8000030517578
1694441467.5907874,916,200.39999389648438
1694441468.5232224,917,202.9199981689453
1694441469.6597397,918,203.60000610351562
1694441474.2888727,921,225.0800018310547
1694441476.4691794,922,231.0800018310547
1694441477.998369,923,243.32000732421875
1694441479.4502804,924,242.8800048828125
1694441486.5482905,932,209.44000244140625
1694441487.4446492,933,209.72000122070312
1694441492.8491786,936,233.72000122070312
1694441504.0791345,943,270.0
1694441510.502544,946,283.8399963378906
1694441524.836108,954,311.6000061035156
1694441526.2675068,955,320.3599853515625
1694441529.7431993,957,344.6400146484375
1694441531.7415347,958,346.760009765625
1694441533.7607958,959,344.67999267578125
1694441538.7356925,962,350.32000732421875
1694441540.4825199,963,360.7200012207031
1694441544.1194866,965,364.7200012207031
1694441546.2424846,967,356.67999267578125
1694441556.7067564,972,353.5199890136719
1694441558.704801,973,351.4800109863281
1694441565.664688,977,369.0799865722656
1694441567.7257485,978,365.760009765625
1694441569.1501408,979,365.7200012207031
1694441570.7642956,980,361.2799987792969
1694441577.574024,983,366.0
1694441579.3798087,984,361.239990234375
1694441581.4272156,985,369.5199890136719
1694441587.4266572,988,361.760009765625
1694441589.3379428,989,355.0
1694441603.6050177,997,353.2799987792969
1694441610.817313,1001,360.2799987792969
1694441613.4955292,1003,347.0400085449219
1694441615.5568032,1005,343.79998779296875
1694441616.418713,1006,329.44000244140625
1694441619.969852,1009,316.8399963378906
1694441624.1877997,1012,303.7200012207031
1694441625.9654377,1013,311.2799987792969
1694441627.5003226,1014,314.3999938964844
1694441628.705101,1015,303.67999267578125
1694441633.5447478,1018,289.9599914550781
1694441642.9155095,1026,270.9599914550781
1694441644.8666356,1028,269.0799865722656
1694441647.6428344,1030,267.44000244140625
1694441651.5566783,1032,283.0400085449219
1694441652.6513894,1033,285.79998779296875
1694441656.1173525,1036,278.4800109863281
1694441658.1058056,1038,269.0
1694441659.8745227,1040,261.32000732421875
1694441666.6958933,1045,258.6400146484375
1694441676.5222921,1052,250.0
1694441678.1064856,1053,250.1199951171875
1694441681.8101723,1056,242.44000244140625
1694441685.012643,1058,246.0399932861328
1694441693.5613668,1064,250.9199981689453
1694441695.700004,1065,260.6400146484375
1694441699.2786074,1067,269.9200134277344
1694441703.4698114,1069,291.3599853515625
1694441710.1186202,1073,305.4800109863281
1694441716.7009401,1077,304.55999755859375
1694441721.718495,1079,323.9200134277344
1694441728.4236298,1084,308.239990234375
1694441730.0282838,1085,317.55999755859375
1694441731.8245344,1086,321.79998779296875
1694441743.4291763,1093,328.760009765625
1694441744.327071,1094,313.6400146484375
1694441753.851907,1100,328.239990234375
1694441759.617156,1104,323.7200012207031
1694441760.8945255,1105,325.3599853515625
1694441762.3695009,1106,311.8399963378906
1694441771.8089173,1115,264.2799987792969
1694441775.3742602,1117,255.0
1694441780.2147255,1120,280.1600036621094
1694441787.9063234,1126,266.55999755859375
1694441788.810196,1127,254.27999877929688
1694441793.0103219,1131,248.24000549316406
1694441796.518632,1134,247.0399932861328
1694441797.7535672,1135,241.1999969482422
1694441799.4109497,1136,256.8399963378906
1694441805.2820935,1139,280.79998779296875
1694441825.5173123,1150,317.6400146484375
1694441831.812939,1153,328.55999755859375
1694441837.3768015,1156,342.1600036621094
1694441839.3979352,1157,346.32000732421875
1694441841.298061,1158,357.8800048828125
1694441846.9754272,1161,360.7200012207031
1694441848.9374335,1162,355.239990234375
1694441850.7021663,1163,347.3599853515625
1694441879.4382024,1178,350.9200134277344
1694441884.6857073,1181,361.20001220703125
1694441889.7296703,1183,372.3599853515625
1694441891.6119366,1184,361.1600036621094
1694441896.4031043,1186,378.9599914550781
1694441898.4866388,1187,390.9200134277344
1694441903.7517083,1190,401.67999267578125
1694441909.329195,1193,418.0799865722656
1694441911.3828125,1194,419.6400146484375
1694441916.0566015,1196,433.44000244140625
1694441920.6264842,1198,433.44000244140625
1694441923.2885392,1200,422.9599914550781
1694441927.013744,1202,428.6400146484375
1694441932.4029346,1205,427.0400085449219
1694441937.3083065,1207,427.0400085449219
1694441941.2334187,1209,437.20001220703125
1694441945.4471858,1211,431.3999938964844
1694441949.181473,1213,426.67999267578125
1694441952.2104445,1215,436.0400085449219
1694441970.0342324,1225,391.7200012207031
1694441978.3074362,1229,400.32000732421875
1694441984.8037605,1233,367.4800109863281
1694441986.597213,1234,367.4800109863281
1694441989.023131,1235,372.8800048828125
1694441993.198181,1237,382.79998779296875
1694441998.507217,1240,366.2799987792969
1694442003.034314,1243,354.3999938964844
1694442006.6415179,1245,352.6400146484375
1694442011.1310549,1248,346.32000732421875
1694442017.0898793,1254,305.32000732421875
1694442020.4535367,1256,317.9599914550781
1694442023.2141752,1258,320.2799987792969
1694442024.2287924,1259,306.5199890136719
1694442027.6664443,1262,272.8800048828125
1694442029.469828,1263,271.20001220703125
1694442031.3215747,1264,263.0
1694442037.8015049,1267,277.0799865722656
1694442056.3303535,1275,344.79998779296875
1694442067.4297235,1280,388.3999938964844
1694442071.3646717,1282,385.55999755859375
1694442083.0700855,1288,412.239990234375
1694442089.0326104,1292,397.55999755859375
1694442090.9079273,1293,387.67999267578125
1694442091.7567885,1294,378.0
1694442092.870466,1295,376.79998779296875
1694442101.4295638,1301,341.55999755859375
1694442103.7885156,1304,300.9599914550781
1694442109.6705627,1311,238.9199981689453
1694442111.9018471,1313,239.16000366210938
1694442114.6943347,1316,227.32000732421875
1694442115.5849364,1317,223.8800048828125
1694442117.7786853,1320,213.44000244140625
1694442118.716691,1321,205.8000030517578
1694442127.1540055,1326,219.9600067138672
1694442128.389619,1327,224.52000427246094
1694442129.730666,1328,229.16000366210938
1694442135.8880758,1331,265.7200012207031
1694442142.8939717,1334,303.7200012207031
1694442144.8395832,1335,312.4800109863281
1694442146.3639407,1336,311.1600036621094
1694442148.7710166,1337,322.32000732421875
1694442149.8485177,1338,322.44000244140625
1694442157.9283233,1344,358.0400085449219
1694442168.2936401,1350,344.4800109863281
1694442177.8224711,1356,337.0400085449219
1694442183.8155832,1360,303.8800048828125
1694442186.217709,1362,291.3599853515625
1694442194.8118465,1367,302.8800048828125
1694442202.1931262,1371,311.20001220703125
1694442215.0916488,1378,333.79998779296875
1694442218.792328,1380,322.5199890136719
1694442226.0513277,1383,354.32000732421875
1694442228.7910163,1385,345.4800109863281
1694442229.7831864,1386,345.32000732421875
1694442232.4082503,1389,339.20001220703125
1694442233.4160275,1390,328.9599914550781
1694442236.5839398,1392,322.1199951171875
1694442238.6597605,1393,329.6400146484375
1694442245.9471974,1396,338.3599853515625
1694442281.4609249,1413,416.8800048828125
1694442283.550026,1414,423.1199951171875
1694442285.2249985,1415,426.9200134277344
1694442287.461842,1416,436.1600036621094
1694442293.9490275,1420,407.6000061035156
1694442300.9908395,1423,409.8800048828125
1694442308.7761016,1427,402.6000061035156
1694442310.1860106,1428,400.0400085449219
1694442311.5264292,1429,390.1600036621094
1694442319.39037,1433,384.9200134277344
1694442321.6690683,1434,392.6400146484375
1694442323.9597328,1435,392.6400146484375
1694442328.3626208,1437,392.6400146484375
1694442332.1447327,1439,405.9200134277344
1694442336.2513041,1441,393.8800048828125
1694442340.4142542,1443,396.1199951171875
1694442356.8922472,1451,396.239990234375
1694442369.3910189,1456,422.7200012207031
1694442371.6720314,1457,426.1600036621094
1694442389.1301043,1466,409.6000061035156
1694442391.230038,1467,409.9599914550781
1694442415.0351763,1478,407.6400146484375
1694442424.4066846,1483,378.55999755859375
1694442429.937619,1486,365.1199951171875
1694442431.7747254,1487,365.1199951171875
1694442438.5701709,1490,389.44000244140625
1694442443.3613384,1492,398.6400146484375
1694442445.8922315,1493,398.6400146484375
1694442463.0552077,1501,395.0400085449219
1694442464.2277067,1502,388.8800048828125
1694442466.1394567,1503,394.0799865722656
1694442468.3715365,1504,395.0400085449219
1694442475.124943,1507,410.5199890136719
1694442479.8812604,1509,421.3599853515625
1694442482.1298916,1510,423.4800109863281
1694442484.1807866,1511,416.3999938964844
1694442499.485622,1519,389.0799865722656
1694442508.6717656,1524,366.1199951171875
1694442510.293771,1525,376.55999755859375
1694442516.6525052,1528,391.6000061035156
1694442532.2911701,1535,392.1199951171875
1694442536.8278606,1537,409.1199951171875
1694442559.477952,1547,442.5199890136719
1694442569.3338616,1552,431.0400085449219
1694442571.7727647,1553,431.0400085449219
1694442576.6416013,1555,431.0400085449219
1694442579.2466514,1556,436.2799987792969
1694442593.4694993,1562,445.0799865722656
1694442596.000447,1563,445.0799865722656
1694442608.3548846,1569,439.9200134277344
1694442610.1427314,1570,439.9200134277344
1694442629.3812304,1579,439.1600036621094
1694442638.4688866,1583,448.8399963378906
1694442642.712858,1585,441.79998779296875
1694442652.0799067,1589,446.1600036621094
1694442668.1336427,1598,418.0400085449219
1694442672.0388498,1600,404.0
1694442679.2842727,1603,400.79998779296875
1694442683.199641,1605,394.7200012207031
1694442685.5477664,1606,393.3599853515625
1694442695.612709,1611,388.8800048828125
1694442701.2093003,1614,375.1199951171875
1694442711.6270285,1619,377.9200134277344
1694442715.4152281,1621,389.6000061035156
1694442724.3296554,1625,413.3599853515625
1694442727.8961167,1627,408.4800109863281
1694442730.4351325,1628,415.9200134277344
1694442732.6397297,1629,415.4800109863281
1694442737.6718109,1631,419.239990234375
1694442741.831021,1633,420.8399963378906
1694442751.863597,1638,396.5199890136719
1694442756.5119658,1641,401.0
1694442759.7309535,1643,398.3999938964844
1694442764.3570588,1646,378.6000061035156
1694442768.6454842,1649,373.5199890136719
1694442776.1765368,1653,365.1199951171875
1694442779.7223155,1656,341.5199890136719
1694442786.8192234,1660,341.67999267578125
1694442788.5279825,1661,352.9200134277344
1694442791.0043485,1662,352.9200134277344
1694442803.9405942,1669,373.1199951171875
1694442807.3668544,1671,372.5199890136719
1694442811.0981488,1673,366.6400146484375
1694442816.4106395,1676,344.4800109863281
1694442818.947622,1677,354.3999938964844
1694442831.9581954,1683,402.0
1694442833.6582205,1684,387.1600036621094
1694442843.485954,1688,391.9200134277344
1694442852.030081,1692,385.44000244140625
1694442859.549918,1695,410.3999938964844
1694442861.645414,1696,405.6000061035156
1694442863.6676905,1697,417.239990234375
1694442865.8634603,1698,417.20001220703125
1694442868.5577886,1700,440.2799987792969
1694442875.4105027,1703,441.1600036621094
1694442890.3956048,1710,436.9200134277344
1694442892.6836188,1711,432.2799987792969
1694442903.793646,1716,436.760009765625
1694442908.310438,1718,435.9599914550781
1694442910.881923,1719,435.9599914550781
1694442912.5437894,1720,435.9599914550781
1694442932.666991,1729,437.32000732421875
1694442942.3218575,1733,443.4800109863281
1694442944.2852209,1734,452.4800109863281
1694442946.8150043,1735,452.4800109863281
1694442949.241134,1736,457.1199951171875
1694442954.0807242,1738,452.0
1694442966.0385964,1743,458.79998779296875
1694442968.6031742,1744,458.79998779296875
1694442973.740747,1746,458.79998779296875
1694442975.9181256,1747,453.5199890136719
1694442978.4537318,1748,453.5199890136719
1694442984.8993256,1751,444.2799987792969
1694442989.0663939,1753,447.20001220703125
1694442991.522492,1754,447.20001220703125
1694442994.0102026,1755,457.5199890136719
1694443011.708387,1764,424.2799987792969
1694443015.0129242,1767,408.20001220703125
1694443035.6500597,1776,406.7200012207031
1694443048.211718,1782,402.0400085449219
1694443050.7442737,1783,402.0400085449219
1694443064.4143016,1789,421.32000732421875
1694443066.8428092,1790,433.1600036621094
1694443069.4285293,1791,445.1199951171875
1694443074.5173402,1793,449.6400146484375
1694443088.248324,1799,451.0799865722656
1694443102.99419,1805,465.32000732421875
1694443105.4592798,1806,465.32000732421875
1694443124.190034,1814,480.0
1694443126.7072911,1815,480.0
1694443133.9271505,1818,477.44000244140625
1694443140.1852987,1821,481.9599914550781
1694443149.4391086,1825,478.79998779296875
1694443153.9689527,1827,478.79998779296875
1694443162.2514448,1831,461.55999755859375
1694443176.962182,1837,465.0799865722656
1694443186.5757957,1841,465.0799865722656
1694443189.1363683,1842,465.0799865722656
1694443196.3717344,1845,474.7200012207031
1694443201.4338927,1847,474.7200012207031
1694443209.038018,1850,482.760009765625
1694443219.042273,1854,485.55999755859375
1694443223.6646645,1856,487.2799987792969
1694443227.9071357,1858,478.1600036621094
1694443229.2341692,1859,469.6400146484375
1694443230.6263943,1860,465.55999755859375
1694443246.3832328,1867,445.3599853515625
1694443250.7375946,1869,437.6400146484375
1694443252.5201573,1870,431.6000061035156
1694443264.7365606,1876,402.239990234375
1694443267.1875043,1877,406.5199890136719
1694443269.6385484,1878,406.5199890136719
1694443274.64835,1880,406.5199890136719
1694443279.2051644,1882,408.0
1694443306.1105785,1894,443.8800048828125
1694443325.3593419,1903,456.20001220703125
1694443335.4174592,1907,463.1600036621094
1694443347.7738707,1912,466.0400085449219
1694443350.2992496,1913,475.6000061035156
1694443362.2185843,1918,476.9200134277344
1694443364.776305,1919,476.9200134277344
1694443367.2430906,1920,480.0
1694443375.9304192,1924,495.9200134277344
1694443378.4004114,1925,497.6000061035156
1694443392.3319244,1931,489.760009765625
1694443400.6368518,1935,465.44000244140625
1694443401.9617198,1936,465.44000244140625
1694443403.7134473,1937,465.44000244140625
1694443406.168589,1939,450.7200012207031
1694443407.777298,1940,450.7200012207031
1694443413.386015,1945,390.2799987792969
1694443414.8641324,1948,344.1600036621094
1694443416.0838661,1950,313.9599914550781
1694443417.9213948,1953,268.2799987792969
1694443419.4530706,1956,230.9600067138672
1694443420.8795962,1959,195.47999572753906
1694443421.9388502,1961,175.52000427246094
1694443424.7769446,1967,105.63999938964844
1694443425.2354822,1968,105.04000091552734
1694443426.2128174,1970,105.4800033569336
1694443427.482513,1972,106.83999633789062
1694443433.6157153,1981,114.83999633789062
1694443434.3115032,1982,116.76000213623047
1694443434.9729505,1983,117.87999725341797
1694443435.6629167,1984,118.83999633789062
1694443454.1918123,1998,208.63999938964844
1694443462.8719792,2002,261.5199890136719
1694443472.3087645,2006,309.5199890136719
1694443474.821179,2007,323.1600036621094
1694443481.8354218,2010,367.1600036621094
1694443484.0652108,2011,383.20001220703125
1694443490.4512496,2014,421.0
1694443495.2859006,2016,449.7200012207031
1694443499.9090414,2018,459.67999267578125
1694443510.5518777,2023,455.5199890136719
1694443517.2937555,2026,456.0799865722656
